가구번호,시도,주택층수,거주층수,주택방향,건축년도,침실(방수),거실수,욕실수,주택소유형태,현주택 거주년수,주 난방방식,주 난방연료,보조 난방방식(택1),보조 난방방식(택2),냉방방식,에어컨 설정 온도,주 취사연료,경제활동 가구원수,65세 이상 노인수,가구주성별,가구주교육정도,가구주직업,가구특성1,가구특성2,연간에너지소비량계,연간일반전력소비량,연간심야전력소비량,연간도시가스소비량,연간석유소비량계,연간프로판소비량,자가용 총 보유대수,연간지역난방소비량,연간연탄소비량,주난방시설,가중치,최종가중치,도시규모,주택형태,주택면적,가구원수,가구원구성,가구주연령대,가구 월평균소득
37057044,37,2,2,2,2,2,0,0,,7,1,2,,1,1,,3,0,1,1,1,5,6,2,13876.4804,3470.14,0,0,1124,84,0,0,0,2,6625.739444,12525.31217,3,1,2,1,1,5,1
37057045,37,2,2,2,2,3,1,1,,25,1,5,,1,3,22,4,2,0,1,999999,999999,1,,9693.9577,3600.415,0,632.56,0,0,1,0,0,3,6625.739444,5067.042508,3,1,4,4,5,4,1
37057046,37,2,2,2,1,2,1,1,,6,1,1,,1,1,,5,0,1,2,2,5,2,,9871.9796,3284.86,0,0,0,0,0,0,1566,1,6625.739444,6517.465664,3,1,3,1,1,5,1
37057047,37,2,2,1,4,3,1,1,,5,1,5,,1,3,24,4,1,1,2,1,5,1,,3061.5011,3559.885,0,0,0,0,1,0,0,3,6625.739444,10762.1372,3,1,3,2,5,5,1
37057054,37,15,3,3,4,3,1,1,,5,1,5,,1,3,25,4,2,0,1,3,1,1,,13976.5768,3408.38,0,1059,0,0,2,0,0,3,5585.196714,2901.353127,3,3,3,4,3,4,2
37057055,37,12,5,3,4,3,1,1,,9,1,5,,1,3,24,4,1,0,1,3,1,1,,10897.0757,3708.495,0,739,0,0,2,0,0,3,5585.196714,2396.872285,3,3,3,4,3,2,3
37057056,37,14,12,3,4,4,1,2,,5,1,5,,1,3,25,4,1,0,1,3,1,2,,18745.2879,3204.765,0,1533,0,0,1,0,0,3,5585.196714,5090.833231,3,3,4,2,2,3,4
37057057,37,18,16,3,4,3,1,1,,17,1,5,,1,3,23,4,2,0,1,2,1,1,,15551.078,3589.8,0,1195,0,0,1,0,0,3,5585.196714,5090.833231,3,3,3,2,2,4,3
37057058,37,15,13,5,4,3,1,1,,18,1,5,,1,3,25,4,2,0,1,3,1,1,,9220.08034,3001.15,0,636.538,0,0,1,0,0,3,5585.196714,2901.353127,3,3,3,4,3,4,3
37057059,37,15,7,5,4,3,1,1,,19,1,5,,1,3,24,4,2,0,1,3,1,1,,12641.74529,3795.345,0,899.113,0,0,1,0,0,3,5585.196714,4699.593419,3,3,3,3,3,4,3
37057060,37,2,1,3,1,2,1,1,,27,1,2,,1,1,,3,1,2,1,1,3,1,,11856.4632,3443.12,0,0,842,124,0,0,0,2,6625.739444,4410.945881,3,1,2,2,2,5,1
37057063,37,1,1,3,2,3,1,1,,13,1,5,,1,3,24,4,2,0,1,2,1,1,,2836.5982,3298.37,0,0,0,0,0,0,0,3,6625.739444,6133.526479,3,1,3,4,3,4,3
37057064,37,18,11,5,4,3,1,1,,13,1,5,,1,3,18,4,2,0,2,2,1,1,,9003.8845,3426.715,0,580.72,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,4,3
37057065,37,1,1,3,4,3,1,1,,16,1,2,,1,3,26,3,1,1,2,1,2,1,,10388.3821,3260.735,0,0,760,75,0,0,0,2,6625.739444,12525.31217,3,1,3,1,1,5,1
37057066,37,3,2,5,5,1,0,1,,2,1,5,,1,1,,4,1,0,2,2,3,1,,7625.1503,3760.605,0,421,0,0,1,0,0,3,1902.567,6214.428614,3,2,1,1,1,2,1
37057068,37,4,2,3,6,3,1,2,,1,1,8,,1,3,26,5,1,0,1,4,1,1,,8765.4038,3707.53,6484.8,0,0,0,2,0,0,5,1902.567,574.2255098,3,2,3,4,3,2,3
37058001,37,15,1,6,4,3,1,1,,1,2,3,,1,3,23,3,3,2,1,2,5,1,,4247.536466,3282.93,0,0,57.4410774,71,1,0,0,2,5585.196714,8849.301744,3,3,4,4,4,5,3
37058002,37,15,6,6,4,3,1,1,,4,2,3,,1,3,25,3,1,2,1,3,1,1,,4791.794,3435.4,0,0,55.35353535,107,1,0,0,2,5585.196714,8849.301744,3,3,4,4,4,3,3
37058003,37,15,14,6,4,3,1,1,,12,2,3,,1,1,,3,1,2,1,1,999999,1,,4307.987566,3465.315,0,0,57.4410774,63,1,0,0,2,5585.196714,15527.34791,3,3,3,2,2,5,1
37058005,37,15,2,6,4,3,1,1,,5,2,3,,1,1,,3,2,1,1,1,1,1,,4710.0127,3640.945,0,0,66.96969697,76,1,0,0,2,5585.196714,7310.604798,3,3,3,4,3,5,2
37058006,37,15,1,6,4,3,1,1,,12,2,3,,1,3,24,3,1,2,1,1,3,1,,4372.354166,3498.125,0,0,57.4410774,66,1,0,0,2,5585.196714,15527.34791,3,3,3,2,2,5,1
37058007,37,15,1,6,4,3,1,1,,3,2,3,,1,3,26,3,1,0,1,2,1,5,,4353.365166,3391.975,0,0,57.4410774,72,1,0,0,2,5585.196714,8849.301744,3,3,3,4,3,3,1
37058008,37,15,3,6,4,3,1,1,,6,2,3,,1,1,,3,2,2,1,2,1,1,,5842.121466,3427.68,0,0,57.4410774,193,1,0,0,2,5585.196714,8849.301744,3,3,3,4,4,4,1
37058009,37,15,1,6,4,3,1,1,,12,2,3,,1,3,25,3,1,1,1,3,3,1,,4694.055566,3774.115,0,0,57.4410774,73,1,0,0,2,5585.196714,15527.34791,3,3,3,2,5,2,2
37058010,37,15,13,6,4,3,1,1,,9,2,3,,1,3,26,3,2,2,1,1,1,1,,4444.888166,3652.525,0,0,57.4410774,61,0,0,0,2,5585.196714,14334.04292,3,3,4,3,3,5,2
37058011,37,1,1,3,3,2,1,1,,4,1,1,,1,1,,3,2,2,1,1,3,1,,15600.8042,3722.97,0,0,0,61,0,0,2592,1,6625.739444,2295.207331,3,1,2,2,2,5,1
37058013,37,1,1,3,3,3,1,1,,5,1,1,,1,3,23,3,1,2,1,3,1,1,,12688.1326,3255.91,0,0,0,61,1,0,2034,1,6625.739444,1080.632303,3,1,3,4,3,2,2
37058016,37,1,1,4,3,3,1,1,,3,1,2,,1,1,,3,2,2,1,1,3,1,,10396.7434,3248.19,0,0,780,62,0,0,0,2,6625.739444,4410.945881,3,1,3,2,2,5,2
37058017,37,1,1,4,3,2,1,1,,20,1,1,,1,3,24,3,1,1,1,3,1,1,,11135.0484,3682.44,0,0,0,63,1,0,1602,1,6625.739444,2118.816465,3,1,2,3,3,3,1
37058018,37,1,1,5,2,1,1,1,,4,1,1,,1,1,,3,1,2,1,2,3,1,,15020.0299,3378.465,0,0,0,71,1,0,2502,1,6625.739444,2295.207331,3,1,2,2,2,5,2
37058019,37,1,1,5,3,4,1,2,,15,1,1,,1,1,,3,2,1,1,2,3,1,,16158.1098,3861.93,0,0,0,57,0,0,2700,1,6625.739444,1080.632303,3,1,3,4,3,3,2
37058020,37,1,1,5,1,2,1,1,,12,1,1,,1,1,,5,2,0,1,2,3,1,,12618.6712,3558.92,0,0,0,0,1,0,2124,1,6625.739444,1080.632303,3,1,2,4,3,4,1
37058023,37,15,12,3,4,4,1,1,,15,1,5,,1,3,24,4,1,0,2,4,5,1,,12579.3432,3057.12,0,954,0,0,1,0,0,3,5585.196714,2396.872285,3,3,4,4,3,3,2
37058029,37,1,1,1,1,1,1,1,,18,1,1,,1,1,,3,0,2,1,1,5,1,,12546.8826,3255.91,0,0,0,56,0,0,2016,1,6625.739444,2295.207331,3,1,1,2,2,5,1
37058030,37,1,1,1,2,4,1,1,,12,1,4,,1,3,21,3,2,2,1,1,3,1,,6310.6505,3372.675,0,0,0,283,1,0,0,3,6625.739444,3168.300551,3,1,3,2,2,5,1
37058043,37,4,2,5,4,2,1,1,,18,1,8,,1,3,23,3,1,0,2,2,1,1,,16177.2477,3645.77,12684.925,0,0,177,1,0,0,5,1902.567,695.0854198,3,2,3,4,3,1,1
37058044,37,2,2,2,1,2,1,0,,7,1,2,,1,3,25,3,0,1,2,1,5,2,,7911.5128,3350.48,0,0,490,60,0,0,0,2,6625.739444,12525.31217,3,1,2,1,1,5,1
37058045,37,3,2,1,4,3,1,1,,10,1,2,,1,1,,3,2,1,1,2,1,1,,7293.3611,3463.385,0,0,410,59,2,0,0,2,6625.739444,4410.945881,3,1,3,2,5,3,2
37058047,37,2,2,1,5,2,1,1,,5,1,2,,1,1,,3,2,2,1,1,3,1,,6244.0084,3585.94,0,0,280,58,1,0,0,2,6625.739444,4410.945881,3,1,2,2,2,5,2
37058055,37,15,5,5,4,3,1,1,,15,1,5,,1,3,25,4,1,0,1,4,1,1,,15888.7413,3557.955,0,1230,0,0,1,0,0,3,5585.196714,2396.872285,3,3,3,4,3,3,3
37058056,37,18,8,6,5,3,1,1,,15,1,5,,1,3,24.5,4,2,1,1,1,3,1,,3023.3257,3515.495,0,0,0,0,1,0,0,3,5585.196714,5090.833231,3,3,3,2,2,5,2
